price,price_per_person,price_bucket,minimum_nights,availability_365,instant_bookable,property_type,room_type,room_type_category,accommodates,bedrooms,beds,neighbourhood_cleansed,is_central,latitude,longitude,host_is_superhost,host_experience_level,host_response_rate,host_acceptance_rate,host_since,first_review,last_review,review_scores_cleanliness,review_scores_rating,rating_category,number_of_reviews,reviews_per_month,days_since_last_review,review_scores_checkin,review_scores_communication,review_scores_location,listing_age_days,has_wifi,has_kitchen,has_ac,has_breakfast,has_elevator,has_pool
1912.0,637.3333333333334,Affordable,1,359,0,Private room in serviced apartment,Private room,Private,3,1.0,1.0,Bang Kapi,0,13.76872,100.63338,0.0,Expert,100.0,93.0,2011-05-21,2024-01-01,2024-01-01,2.0,4.0,Fair,1,0.08,504.0,5.0,5.0,5.0,504,1,1,1,1,1,0
2391.0,597.75,Affordable,1,299,1,Private room in home,Private room,Private,4,1.0,1.0,Bangkok Yai,0,13.73292,100.46413,1.0,Expert,100.0,97.0,2013-03-04,2013-03-30,2024-08-07,4.83,4.81,Excellent,88,0.62,285.0,4.86,4.8,4.56,4433,1,0,1,1,0,0
1400.0,700.0,Affordable,30,323,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Phaya Thai,0,13.77931,100.54262,0.0,Expert,40.0,18.0,2013-03-06,2013-05-01,2022-11-15,4.59,4.7,Good,90,0.63,916.0,4.76,4.81,4.73,4401,1,1,1,0,1,1
1033.0,516.5,Affordable,2,171,0,Entire serviced apartment,Entire home/apt,Entire,2,2.0,1.0,Bang Kho laen,0,13.69945,100.52725,1.0,Expert,100.0,90.0,2013-04-06,2015-01-03,2024-12-02,4.73,4.73,Good,15,0.12,168.0,4.67,5.0,4.27,3789,0,0,0,0,0,0
2356.0,589.0,Affordable,28,325,0,Entire condo,Entire home/apt,Entire,4,2.0,2.0,Bang Kho laen,0,13.68839,100.51065,1.0,Expert,100.0,93.0,2012-02-01,2015-07-05,2024-12-18,4.86,4.9,Excellent,21,0.18,152.0,5.0,5.0,4.62,3606,1,1,1,0,1,0
2076.0,519.0,Affordable,1,282,1,Entire home,Entire home/apt,Entire,4,1.0,1.0,Phasi Charoen,0,13.73122,100.46228,1.0,Expert,100.0,97.0,2013-03-04,2013-03-30,2024-12-22,4.9,4.89,Excellent,128,0.9,148.0,4.92,4.92,4.73,4433,1,0,1,1,0,0
956.0,478.0,Budget,2,305,1,Entire condo,Entire home/apt,Entire,2,1.0,2.0,Sathon,1,13.71192,100.51535,0.0,Expert,100.0,100.0,2012-08-23,2013-05-16,2024-12-06,4.88,4.82,Excellent,544,3.85,164.0,4.88,4.9,4.66,4386,1,1,0,0,1,0
1472.0,736.0,Affordable,1,0,1,Private room in rental unit,Private room,Private,2,1.0,1.0,Sathon,1,13.71798,100.52841,0.0,Expert,100.0,100.0,2012-04-15,2014-01-03,2014-11-12,5.0,4.75,Good,4,0.03,3841.0,5.0,5.0,4.75,4154,1,0,1,0,1,0
3500.0,875.0,Standard,1,365,0,Private room in rental unit,Private room,Private,4,1.0,2.0,Thawi Watthana,0,13.79318,100.33369,0.0,Expert,100.0,100.0,2012-11-11,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,0,1,1,0,1
3600.0,600.0,Standard,3,334,0,Entire home,Entire home/apt,Entire,6,1.0,4.0,Parthum Wan,0,13.74814,100.52016,1.0,Expert,100.0,100.0,2013-04-02,2013-09-13,2024-12-25,4.95,4.91,Excellent,338,2.46,145.0,4.93,4.86,4.76,4266,1,1,0,1,0,0
3314.0,1104.6666666666667,Standard,3,329,0,Entire condo,Entire home/apt,Entire,3,1.0,1.0,Vadhana,1,13.73767,100.58381,1.0,Expert,100.0,91.0,2012-02-19,2013-11-22,2024-11-15,4.6,4.55,Good,45,0.33,185.0,4.57,4.38,4.82,4196,1,1,1,0,1,0
9999.0,1249.875,Premium,100,365,0,Entire rental unit,Entire home/apt,Entire,8,3.0,4.0,Vadhana,1,13.73616,100.57224,0.0,Expert,93.0,51.0,2013-08-27,2014-02-13,2019-02-26,4.85,4.7,Good,46,0.35,2274.0,4.83,4.72,4.22,4113,1,1,1,0,1,1
